record_id,year,AverageTemperatureFahr,AverageTemperatureUncertaintyFahr,City,Country
474376,1853,NaN,NaN,Auckland,New Zealand
474377,1853,NaN,NaN,Auckland,New Zealand
474378,1853,NaN,NaN,Auckland,New Zealand
474379,1853,NaN,NaN,Auckland,New Zealand
474380,1853,NaN,NaN,Auckland,New Zealand
474381,1853,51.9062,36.9572,Auckland,New Zealand
474382,1853,52.3886,34.5488,Auckland,New Zealand
474383,1853,52.853,33.5498,Auckland,New Zealand
474384,1853,52.5776,33.638,Auckland,New Zealand
474385,1853,54.8726,33.9836,Auckland,New Zealand
474386,1853,56.6888,34.2518,Auckland,New Zealand
474387,1853,59.846,37.5062,Auckland,New Zealand
474388,1854,64.5908,36.23,Auckland,New Zealand
474389,1854,65.372,35.6576,Auckland,New Zealand
474390,1854,64.9688,35.3966,Auckland,New Zealand
474391,1854,59.927,35.2022,Auckland,New Zealand
474392,1854,57.5042,34.511,Auckland,New Zealand
474393,1854,54.518,34.7972,Auckland,New Zealand
474394,1854,53.1914,35.024,Auckland,New Zealand
474395,1854,52.8044,34.3544,Auckland,New Zealand
474396,1854,53.3912,33.683,Auckland,New Zealand
474397,1854,54.7538,37.4108,Auckland,New Zealand
474398,1854,57.317,35.0024,Auckland,New Zealand
474399,1854,60.0296,35.924,Auckland,New Zealand
474400,1855,63.3578,36.0716,Auckland,New Zealand
474401,1855,64.346,37.13,Auckland,New Zealand
474402,1855,63.6584,34.3058,Auckland,New Zealand
474403,1855,61.5848,34.7594,Auckland,New Zealand
474404,1855,58.0028,34.1996,Auckland,New Zealand
474405,1855,54.842,33.7568,Auckland,New Zealand
474406,1855,53.1554,33.5048,Auckland,New Zealand
474407,1855,52.3094,34.8422,Auckland,New Zealand
474408,1855,52.61,34.1042,Auckland,New Zealand
474409,1855,57.407,34.2302,Auckland,New Zealand
474410,1855,58.1558,33.7622,Auckland,New Zealand
474411,1855,60.9206,35.7026,Auckland,New Zealand
474412,1856,61.8422,37.9166,Auckland,New Zealand
474413,1856,62.033,37.8878,Auckland,New Zealand
474414,1856,62.1266,35.9114,Auckland,New Zealand
474415,1856,59.801,36.2966,Auckland,New Zealand
474416,1856,55.4288,36.2642,NA,NA
474417,1856,53.2688,35.5856,Auckland,New Zealand
474418,1856,50.9306,36.6656,Auckland,New Zealand
474419,1856,51.5516,36.3308,Auckland,New Zealand
474420,1856,52.8494,34.8008,Auckland,New Zealand
474421,1856,53.9078,37.8698,Auckland,New Zealand
474422,1856,55.5854,37.6772,Auckland,New Zealand
474423,1856,63.7466,34.6208,Auckland,New Zealand
474424,1857,63.5648,35.9654,Auckland,New Zealand
474425,1857,63.1166,37.9544,Auckland,New Zealand
474426,1857,62.1446,36.2156,Auckland,New Zealand
474427,1857,58.5608,35.744,Auckland,New Zealand
474428,1857,53.8034,37.3208,Auckland,New Zealand
474429,1857,52.9538,34.2572,Auckland,New Zealand
474430,1857,52.6676,33.5102,Auckland,New Zealand
474431,1857,52.3364,33.5246,Auckland,New Zealand
474432,1857,53.3354,33.7424,Auckland,New Zealand
474433,1857,53.9888,34.826,Auckland,New Zealand
474434,1857,56.4602,36.635,Auckland,New Zealand
474435,1857,59.5634,38.6168,Auckland,New Zealand
474436,1858,61.0502,40.5032,Auckland,New Zealand
474437,1858,63.3416,35.8844,Auckland,New Zealand
474438,1858,62.8052,36.8564,Auckland,New Zealand
474439,1858,57.5726,39.1532,Auckland,New Zealand
474440,1858,55.0436,39.0002,Auckland,New Zealand
474441,1858,53.4056,34.5164,Auckland,New Zealand
474442,1858,51.0404,35.753,Auckland,New Zealand
474443,1858,52.4174,33.9206,Auckland,New Zealand
474444,1858,53.5388,33.6758,Auckland,New Zealand
474445,1858,54.6008,35.2004,Auckland,New Zealand
